date,open,high,low,close,volume
2009-08-06,1.1580501466526056,1.1868259446153022,1.0920763924861627,1.1355910301208496,241978000
2009-08-07,1.133486034936595,1.176298812541608,1.1250638724952402,1.1531378030776978,24543000
2009-08-10,1.1671743536577102,1.1671743536577102,1.0955857891751988,1.1208523511886597,24210000
2009-08-11,1.121554334331427,1.1229580137556565,1.087865526148576,1.099797010421753,23054000
2009-08-12,1.133485785733125,1.1369950262844053,1.0990951781304428,1.1229580640792847,14513000
2009-08-13,1.1229581704544462,1.1734913061132803,1.1229581704544462,1.161559820175171,11506000
2009-08-14,1.1580505027282915,1.1931429929121167,1.1405042994698273,1.1650689840316772,6378000
2009-08-17,1.1419078876794104,1.1489263684215323,1.1369949678933031,1.1383986473083496,2544000
2009-08-18,1.1566471204754698,1.2071802657810886,1.147523075702682,1.1980562210083008,14467000
2009-08-19,1.1819132386089992,1.2591166067659851,1.179105796245591,1.2556073665618896,20708000
2009-08-20,1.2598181643049058,1.2598181643049058,1.2134961689796977,1.2464830875396729,18821000
2009-08-21,1.2485885598450657,1.2612218380115803,1.233849721372988,1.2506940364837646,8636000
2009-08-24,1.2296390434470286,1.252800047812741,1.2141984017588519,1.2282353639602661,10216000
2009-08-25,1.2387632620112694,1.2563094672616175,1.23174477991113,1.2528002262115479,5308000
2009-08-26,1.2415707050514688,1.2528002262115479,1.203670851510573,1.2528002262115479,7086000
2009-08-27,1.2527997931905244,1.2780663534845877,1.231744354167764,1.274557113647461,11611000
2009-08-28,1.270345918493318,1.3335123155547424,1.2633274392272564,1.2963143587112427,12950000
2009-08-31,1.287892451789617,1.291401692107836,1.2499926061527213,1.277364730834961,10048000
2009-09-01,1.2808742382790113,1.2942093208025134,1.188932005633518,1.2528002262115479,13835000
2009-09-02,1.2464836091776597,1.2808742212101998,1.226831842825766,1.2408688068389893,12934000
2009-09-03,1.2612221255230645,1.2612221255230645,1.1931428009025464,1.2247259616851807,36577000
2009-09-04,1.2457812061659785,1.2633274038396376,1.227533127118625,1.2464830875396729,11586000
2009-09-08,1.246483020860158,1.2584144179066126,1.2247257034419612,1.242271900177002,5749000
2009-09-09,1.2527999379925583,1.2527999379925583,1.208583494200729,1.2113908529281616,5512000
2009-09-10,1.193845088203075,1.2254283456019075,1.1896340485723038,1.1966525316238403,4152000
2009-09-11,1.1931425189381129,1.2163035147719956,1.1608574843009598,1.1847202777862549,6203000
2009-09-14,1.1678764691418007,1.1861245546596848,1.1447154632666088,1.1685782670974731,16145000
2009-09-15,1.2106890148334528,1.2177074950856097,1.1671743703365725,1.2057760953903198,19869000
2009-09-16,1.2212168392347476,1.2457815222097126,1.2008631945696415,1.233850121498108,20211000
2009-09-17,1.239464682075301,1.2563089993755583,1.1601557634803907,1.167876124382019,14464000
2009-09-18,1.1629629539127662,1.1945461907081514,1.1355909213347921,1.1369946002960205,8999000
2009-09-21,1.1426102333656925,1.167174925941663,1.1138344171670713,1.165771245956421,5530000
2009-09-22,1.1903355412232433,1.2191113478171007,1.1805097009392849,1.2106891870498657,11141000
2009-09-23,1.2366574384417501,1.2485889224157023,1.21419831721665,1.2212167978286743,5303000
2009-09-24,1.2163041765477578,1.2528002679510393,1.1755968786104192,1.2275336980819702,7788000
2009-09-25,1.2268321005545813,1.2268321005545813,1.2001618465932777,1.2022674083709717,4685000
2009-09-28,1.2156022064072232,1.2528001768043509,1.1952485589193707,1.2387632131576538,2336000
2009-09-29,1.231744900456044,1.2520985507385047,1.1896340037340185,1.1952487230300903,3567000
2009-09-30,1.1931432995666207,1.2163043105538762,1.1903358561235762,1.1980562210083008,5126000
2009-10-01,1.1931431240789763,1.1994597244796732,1.137697065486691,1.1447155475616455,6605000
2009-10-02,1.1369950890195566,1.1482246928700186,1.1159396445501146,1.1292747259140015,6296000
2009-10-05,1.1299768564013817,1.1601563501878414,1.1229583733657826,1.1573489904403687,1889000
2009-10-06,1.174894788747057,1.207179832930873,1.153839346975061,1.15594482421875,4694000
2009-10-07,1.1629633880247923,1.1657708306620769,1.1173432609211378,1.1320821046829224,2917000
2009-10-08,1.1306778503738137,1.1355908519381712,1.1187464544322123,1.123659372329712,5573000
2009-10-09,1.1215543591755914,1.1545412028767015,1.1187469165980526,1.140504240989685,8705000
2009-10-12,1.1383982686316214,1.1545407857022336,1.125764990764757,1.1468204259872437,12888000
2009-10-13,1.1362928925103009,1.1699816947257267,1.1334855341591201,1.1601557731628418,5573000
2009-10-14,1.1819131475802214,1.193142748835198,1.1608577079773,1.1833168268203735,6955000
2009-10-15,1.2212170515936436,1.2598187029810763,1.2001616053823168,1.2043726444244385,20920000
2009-10-16,1.209285747909526,1.209285747909526,1.1376971579907287,1.1531378030776978,12638000
2009-10-19,1.1552431822182434,1.1678764657192249,1.1271691724011181,1.1398024559020996,21429000
2009-10-20,1.146820611827543,1.174192732252498,1.1419076928795386,1.1601557731628418,4890000
2009-10-21,1.148926743864116,1.1868266024565015,1.1306786545047913,1.1573489904403687,2338000
2009-10-22,1.1461191948185079,1.1461191948185079,1.0955860583749375,1.14260995388031,9834000
2009-10-23,1.132082268775899,1.1517340354177963,1.1173434228777492,1.1264674663543701,11341000
2009-10-26,1.1166411102232994,1.1313799504328743,1.109622630821954,1.1117281913757324,1624000
2009-10-27,1.119448919377061,1.122256278591698,1.0710213454228095,1.084356427192688,3288000
2009-10-28,1.0878654671579566,1.0878654671579566,1.0450527032057346,1.0478601455688477,6220000
2009-10-29,1.0492637789554708,1.066809979205519,1.0331212579920501,1.0555803775787354,11833000
2009-10-30,1.0597919587912656,1.0661086438212806,1.043649430826008,1.0527734756469727,2781000
2009-11-02,1.0597917209675325,1.0597917209675325,1.0331214742708015,1.0436491966247559,2766000
2009-11-03,1.0303140239027673,1.0401398637632129,1.0134696194274273,1.0169788599014282,3637000
2009-11-04,1.0246992519856382,1.0703193794643289,1.005749285945589,1.037332534790039,8053000
2009-11-05,1.0541770583075674,1.1047101992189503,1.0422456547961783,1.0752325057983398,2741000
2009-11-06,1.0752322702620456,1.1012007167456448,1.0436491059443744,1.0731267929077148,2575000
2009-11-09,1.0710215320469232,1.1047102668272943,1.0590900441384152,1.0990954637527466,2529000
2009-11-10,1.1012008334812151,1.1012008334812151,1.0654065433266338,1.084356427192688,1468000
2009-11-11,1.089971166836899,1.089971166836899,1.061195360034576,1.0780397653579712,1535000
2009-11-12,1.080846605273671,1.119448317557363,1.080846605273671,1.0948835611343384,1300000
2009-11-13,1.0955860290362402,1.1054119536002076,1.081549065659345,1.0934804677963257,621000
2009-11-16,1.096989139028754,1.1376964120847732,1.0899706609846525,1.123659372329712,1556000
2009-11-17,1.1110265134715693,1.136293077411148,1.0934803117543312,1.1278709173202515,985000
2009-11-18,1.1334856984928006,1.1334856984928006,1.1096228143805993,1.1250635385513306,1155000
2009-11-19,1.1117286880340387,1.1152379293024446,1.0703195908667036,1.0927788019180298,1166000
2009-11-20,1.0920770437876068,1.0983937289857415,1.0745308354598788,1.0836548805236816,4237000
2009-11-23,1.090673152083912,1.0955860727283728,1.063301022207221,1.0661084651947021,4653000
2009-11-24,1.0597917145262763,1.075934238770941,1.0534751146190549,1.071021318435669,5228000
2009-11-25,1.0794433120480904,1.1215542783409356,1.0780396326939357,1.0878654718399048,1353000
2009-11-27,1.061897418815218,1.1145361210253661,1.056984497817898,1.113132357597351,616000
2009-11-30,1.1138342393113585,1.1222564015448944,1.0703195810487538,1.113132357597351,2765000
2009-12-01,1.1159397653699863,1.1468210538018444,1.1159397653699863,1.1201508045196533,4178000
2009-12-02,1.1250637523755265,1.130678470959021,1.079443536382855,1.0955860614776611,8465000
2009-12-03,1.0934809082053285,1.1187474859268354,1.0934809082053285,1.118045687675476,5079000
2009-12-04,1.1510318286550798,1.172789150518512,1.094883903964509,1.1594539880752563,9468000
2009-12-07,1.1580505213619372,1.1882300081854789,1.1580505213619372,1.1840189695358276,3084000
2009-12-08,1.1657708735946528,1.19103743992625,1.1615597513170877,1.1755967140197754,2495000
2009-12-09,1.1657709379053975,1.1798079013824463,1.1468209702778598,1.1798079013824463,967000
2009-12-10,1.1791058807440695,1.1924410446754041,1.1755966402884908,1.1770004034042358,2555000
2009-12-11,1.1713857774824883,1.1720875754786384,1.1552432522343743,1.1636654138565063,774000
2009-12-14,1.1748945265872721,1.186124126493378,1.1713852870749726,1.182614803314209,2248000
2009-12-15,1.1826149683177138,1.186124291986519,1.1727891297790802,1.1748946905136108,1404000
2009-12-16,1.1847211206236985,1.202267413061657,1.174895277178688,1.193143367767334,3157000
2009-12-17,1.1868264400113735,1.1917393607304605,1.1327840611006978,1.1447155475616455,1490000
2009-12-18,1.1440133841688176,1.1791057859019252,1.1391004646595597,1.1503300666809082,4178000
2009-12-21,1.178404439547166,1.182615479168375,1.1482249457607063,1.1573489904403687,1443000
2009-12-22,1.1580502657883687,1.1741927862167358,1.1391003868797984,1.1741927862167358,3127000
2009-12-23,1.1755967465041468,1.181913430095039,1.1685782649588665,1.1777023077011108,2235000
2009-12-24,1.1734912689740824,1.1931430340342473,1.1734912689740824,1.1777023077011108,308000
2009-12-28,1.1755966954386337,1.2492908321298541,1.1755966954386337,1.2198132276535034,7954000
2009-12-29,1.229638956904882,1.2408685593424302,1.221216796910165,1.230340838432312,2276000
2009-12-30,1.2149001453272674,1.2478870719586275,1.2149001453272674,1.2415704727172852,3025000
2009-12-31,1.2359554757218791,1.2836811542510986,1.2359554757218791,1.2836811542510986,5558000
2010-01-04,1.2843834257707158,1.3264943166155412,1.2640297783289085,1.323686957359314,5387000
2010-01-05,1.330003304396093,1.3503569479642414,1.2703461367195032,1.333512544631958,3011000
2010-01-06,1.3300031956153873,1.3545678752573012,1.3047366345169527,1.3440401554107666,5331000
2010-01-07,1.3363201391163966,1.3454441815014915,1.3089480119611119,1.335618257522583,2718000
2010-01-08,1.3264944708249835,1.354568401318556,1.322985229513287,1.3454444408416748,2899000
2010-01-11,1.3475495367497492,1.372114302635974,1.335618136405164,1.3538662195205688,5127000
2010-01-12,1.3433384674925117,1.3433384674925117,1.315264461938706,1.333512544631958,9167000
2010-01-13,1.3307055261291563,1.3307055261291563,1.2808742685728505,1.2928056716918945,9439000
2010-01-14,1.2970164585850577,1.3243884988667267,1.273855456372245,1.2935072183609009,10654000
2010-01-15,1.3026312312576491,1.3026312312576491,1.2738555103992533,1.2801721096038818,1587000
2010-01-19,1.2563090883329049,1.2738553719578385,1.2141982084335785,1.2499924898147583,3813000
2010-01-20,1.2429743723551783,1.2640298184458345,1.2240244039400634,1.260520577430725,1938000
2010-01-21,1.2542036886983325,1.297718337116963,1.248588970924089,1.2626259326934814,3386000
2010-01-22,1.2549051897739618,1.2675384682694606,1.21981279599028,1.2324460744857788,9235000
2010-01-25,1.240166892788943,1.2492909358926767,1.225428131160053,1.2387632131576538,2614000
2010-01-26,1.195248089932344,1.2633274038396376,1.1819130131671112,1.2464830875396729,7654000
2010-01-27,1.2380609829990996,1.259818218856427,1.210688863242826,1.2219184637069702,6963000
2010-01-28,1.2317445466123444,1.245079710277004,1.2106891042999364,1.243675947189331,144576000
2010-01-29,1.2436760304041454,1.2535019543408596,1.210689185307589,1.2198132276535034,33570000
2010-02-01,1.2198132033727964,1.2415705282517462,1.2134965201820234,1.2282353639602661,5095000
2010-02-02,1.2289368241251173,1.2492903788710183,1.217707224747945,1.242271900177002,17729000
2010-02-03,1.2310430547674553,1.2415708629232325,1.2268320151720613,1.2366578578948975,12857000
2010-02-04,1.219813076216529,1.2338500369546963,1.1973538721019523,1.2085834741592407,13767000
2010-02-05,1.2106889053742966,1.2156018243732494,1.1650687041929437,1.2071796655654907,5387000
2010-02-08,1.1987577154240854,1.2134965596820866,1.1840189548329814,1.1938447952270508,4983000
2010-02-09,1.1959504660382894,1.2198133549460173,1.1805098224314683,1.1924412250518799,1896000
2010-02-10,1.1833171195145311,1.1889319215308438,1.1587524339017006,1.1791059970855713,5780000
2010-02-11,1.1762989525576175,1.2106895718148247,1.1580508620401668,1.2022674083709717,3700000
2010-02-12,1.1917394078065944,1.220515218917374,1.17840432480418,1.2184096574783325,1632000
2010-02-16,1.221216991670868,1.2289373550362934,1.212092948693611,1.2268317937850952,4227000
2010-02-17,1.2352535410496266,1.2352535410496266,1.2050740630107541,1.2219184637069702,5077000
2010-02-18,1.2261296409865876,1.22823520177214,1.2141982414243027,1.2247259616851807,4619000
2010-02-19,1.2282352775169105,1.2366574375116275,1.2184093544673338,1.230340838432312,3746000
2010-02-22,1.2282354757910672,1.2345520758900719,1.2092855918271503,1.2177077531814575,8465000
2010-02-23,1.2177076665480007,1.2275335068178188,1.2022670245524738,1.2198132276535034,18202000
2010-02-24,1.2282354687139125,1.2542038342679378,1.2219188686513043,1.2450798749923706,8523000
2010-02-25,1.2633274595559816,1.2906995793342004,1.2415702236812103,1.2696441411972046,23197000
2010-02-26,1.2668370022538469,1.2766629259347826,1.260520402768662,1.2738555669784546,2807000
2010-03-01,1.3124569777511383,1.3194754575519296,1.2717497781731737,1.2843830585479736,8722000
2010-03-02,1.2766630427168746,1.3152646920653661,1.2766630427168746,1.3138610124588013,9810000
2010-03-03,1.315966753910298,1.3994867477743849,1.315966753910298,1.3271963596343994,10634000
2010-03-04,1.3342143726900737,1.3503568938616732,1.2984200902516088,1.3377236127853394,3966000
2010-03-05,1.3370217503934196,1.3798345136338215,1.3370217503934196,1.3587790727615356,3767000
2010-03-08,1.3672011890787992,1.370008631306325,1.3398291502784343,1.3552697896957397,2220000
2010-03-09,1.364393850820425,1.4036973732555706,1.3440402081188063,1.3580771684646606,9227000
