date,open,high,low,close,volume
1997-11-21,7.594075482824574,7.594075482824574,7.351711371670598,7.432499408721924,3821400
1997-11-24,7.43249882708539,7.43249882708539,7.190134734897823,7.351710796356201,541600
1997-11-25,7.392105390196261,7.432499408721924,7.331514362407767,7.432499408721924,425000
1997-11-26,7.43249882708539,7.43249882708539,7.351710796356201,7.351710796356201,165200
1997-11-28,7.351711371670598,7.432499408721924,7.351711371670598,7.432499408721924,60500
1997-12-01,7.452696800231934,7.472893810530665,7.4324997899332015,7.452696800231934,120300
1997-12-02,7.472893427247587,7.472893427247587,7.392105390196261,7.432499408721924,164200
1997-12-03,7.452696417984755,7.452696417984755,7.412302399459092,7.432499408721924,540000
1997-12-04,7.432499408721924,7.452696417984755,7.432499408721924,7.432499408721924,43800
1997-12-05,7.392105769335739,7.5536818517255915,7.392105769335739,7.452696800231934,147500
1997-12-08,7.432495816377296,7.5132838143813965,7.432495816377296,7.493086814880371,74900
1997-12-09,7.472889815379346,7.493086814880371,7.432495816377296,7.493086814880371,61000
1997-12-10,7.472893810530665,7.513287831128128,7.452696800231934,7.452696800231934,104500
1997-12-11,7.4324997899332015,7.472893810530665,7.4324997899332015,7.452696800231934,153600
1997-12-12,7.452692815878321,7.493086814880371,7.452692815878321,7.493086814880371,59900
1997-12-15,7.472889815379346,7.493086814880371,7.452692815878321,7.493086814880371,24400
1997-12-16,7.536641756693522,7.719471341087705,7.536641756693522,7.678842544555664,107900
1997-12-17,7.719476758971695,7.881992059160572,7.699162346448085,7.861677646636963,63900
1997-12-18,7.841356872283305,7.881985664367675,7.841356872283305,7.881985664367676,35700
1997-12-19,7.881992085441868,7.881992085441868,7.719476784711109,7.760105609893799,134400
1997-12-22,7.780414875596762,7.841358073055744,7.7601004764437675,7.800729274749756,34400
1997-12-23,7.800729274749756,7.861672472208738,7.800729274749756,7.800729274749756,88500
1997-12-24,7.780414875596762,7.800729274749756,7.739786077290773,7.800729274749756,63300
1997-12-26,7.760107163703536,7.760107163703536,7.658535080408987,7.699163913726807,34600
1997-12-29,7.7601029378535555,7.821046154642981,7.719474126660605,7.73978853225708,159600
1997-12-30,7.800734492990841,7.90230655670166,7.699162429280023,7.90230655670166,52400
