date,top_tercile_equity,equal_weight_all_equity,bottom_tercile_equity
1972-09-27,1.002831776389696,1.0004573206516698,0.9978170259769445
1972-09-28,1.0008959646893136,1.0012608119360413,1.003266629565955
1972-09-29,1.0006855579848615,1.0023689057704113,1.0067156021267754
1972-10-02,0.997228353947437,1.0018320596355157,1.0090797230146022
1972-10-03,1.0004771114711721,1.0032465112774076,1.0090893730405226
1972-10-04,1.0013312977561821,1.003534399482639,1.0085847911380346
1972-10-05,0.9978498540558632,1.0004954450365133,1.0068711567945035
1972-10-06,0.995988515021456,0.999539835172681,1.0063678318802478
1972-10-09,0.9991036620998323,0.999202113568527,1.0058644777113512
1972-10-10,0.9986042500618758,1.0005054603077876,1.008423669452958
1972-10-11,0.9981050009309429,1.0000052401428794,1.0079194576182315
1972-10-12,0.997605757650627,0.9976656876052477,1.003557937647417
1972-10-13,0.9957822255436504,0.9953534344927397,0.9994960060898286
1972-10-16,0.9952845148342877,0.9958660705231458,1.003444111124138
1972-10-17,0.9947865806486931,0.9951735454112515,1.002942298726297
1972-10-18,0.9988301371025079,0.997319416815922,1.0024410338114955
1972-10-19,0.9983301510860918,0.9968205410916962,1.0019397229443592
1972-10-20,0.9952172926161201,0.9954521500372318,1.0014389555650784
1972-10-23,0.9947197368116768,0.9977072790801896,1.0044084046902384
1972-10-24,0.9960894118335496,0.9985114248029594,1.0059557592607933
1972-10-25,0.9929627847147582,0.9975775053767779,1.006794141663695
1972-10-26,0.9967516282711492,1.0002932867787175,1.0079983930872745
1972-10-27,0.9955013364990506,0.9995417302663099,1.007494600414286
1972-10-30,0.99500388764782,0.9990419128819635,1.0069906789099197
1972-10-31,0.9957859032575751,1.001135526010534,1.0108469973675804
1972-11-01,0.9991456730250196,1.0057712026931596,1.01610545235676
1972-11-02,1.001101397531255,1.0079285818091053,1.0178385135930184
1972-11-03,0.9993794953871936,1.0083628447759327,1.0200743099892402
1972-11-06,0.9993685451107271,1.0089807444884946,1.0224706832668897
1972-11-08,1.0000921164815328,1.0101993377258822,1.025945993657167
1972-11-09,0.9995919146791562,1.007253349321398,1.0192031855089771
1972-11-10,1.0000694211654044,1.0067168974748264,1.0175974274753765
1972-11-13,1.0005430305849363,1.0058112972387059,1.0161104111883636
1972-11-14,1.000042818790357,1.0059729919205311,1.0188665978084268
1972-11-15,1.0002261066686873,1.0062450366860247,1.0189136452547225
1972-11-16,0.9997261033514255,1.0057420978447298,1.0184044143093223
1972-11-17,0.9992266852287769,1.0055089715657681,1.0181624136765708
1972-11-20,0.9999692342086896,1.004338341137498,1.01435849210662
1972-11-21,1.002714705174478,1.0054777094564495,1.014440663030394
1972-11-22,1.0039473853711662,1.0055545049098853,1.0139330341321675
1972-11-24,1.0030649909774085,1.005405589987191,1.0148807486426061
1972-11-27,1.002563513873799,1.0040544517726477,1.0123381894002454
1972-11-28,0.9992139990471424,1.0024189408717246,1.01127935252495
1972-11-29,0.994984582236783,0.9986857916490329,1.0107736974492592
1972-11-30,0.9972737778124489,0.9982640216474528,1.010268593010087
1972-12-01,1.0023248071090243,1.0000444413038263,1.0110629683073153
1972-12-04,1.0025480135685318,1.001803267722125,1.0142296257738144
1972-12-05,1.0020468376109228,1.0029418720056593,1.0187022874442673
1972-12-06,1.000934172936514,1.0043425036030007,1.0197614444816954
1972-12-07,1.0004333151636735,1.0051743669146496,1.0198335070756537
1972-12-08,1.0009753510352284,1.0047663958153221,1.0193236174465354
1972-12-11,1.0005225142309784,1.0049548573341602,1.0221036557845637
1972-12-12,1.00156857205108,1.004279228721712,1.0219843754795956
1972-12-13,0.9986922981413235,1.0041347262287692,1.0219514182614298
1972-12-14,0.9971655209010248,1.0037015636143671,1.0227022254673577
1972-12-15,0.9966666485259326,1.0032477159203828,1.0210952063424565
1972-12-18,0.9942220750923543,1.0002967992463454,1.0174624731819812
1972-12-19,0.992326461220379,0.9989724631652903,1.0164004534259192
1972-12-20,0.9939173704889839,0.9984142505697059,1.0158920136286662
1972-12-21,0.9935583146874876,0.9983491967239677,1.0153838151561618
1972-12-22,0.9930617986260484,0.9982684528327332,1.0148767458597852
1972-12-26,0.9925646939125379,0.9980147444751385,1.014368781119802
