date,equity_10000,equity_25000,equity_50000,equity_100000,equity_250000,equity_500000,equity_1000000,equity_2000000
1993-01-29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1993-02-01,1.00140832121594,1.00216432121594,1.0024163212159398,1.00254232121594,1.0026179212159398,1.0026216545492732,1.0026216545492732,1.0026216545492732
1993-02-02,0.9986894273437498,1.0002003259710688,1.0007039588468418,1.0009557752847285,1.0011068651474602,1.0011142040313705,1.0011142040313705,1.0011142040313705
1993-02-03,0.9996861374883591,1.0019564502504095,1.002713221171093,1.0030916066314346,1.0033186379076398,1.003329674712163,1.003329674712163,1.003329674712163
1993-02-04,1.0026136121159008,1.005649434739828,1.0066613756144707,1.0071673460517916,1.0074709283141843,1.0074855892980699,1.0074855892980699,1.0074855892980699
1993-02-05,0.9999936420434122,1.0037813468019283,1.0050439150547672,1.0056751991811863,1.006053969657038,1.0060719947602328,1.0060719947602328,1.0060719947602328
1993-02-08,0.997588046411464,1.002127411964365,1.0036405338153325,1.0043970947408156,1.0048510312961059,1.0048724857232676,1.0048724857232676,1.0048724857232676
1993-02-09,0.9941724925571356,0.999458049605465,1.0012199019549086,1.0021008281296298,1.0026293838344629,1.0026542978543045,1.0026542978543045,1.0026542978543045
1993-02-10,0.9933472594170251,0.999391127920417,1.0014057507548813,1.0024130621721128,1.0030174490224522,1.0030459834036765,1.0030459834036765,1.0030459834036765
1993-02-11,0.9928993875581457,0.9997041973302087,1.0019724672542303,1.0031066022162405,1.003787083193447,1.0038192320908867,1.0038192320908867,1.0038192320908867
1993-02-12,0.9871969557850376,0.9947273194680807,0.9972374406957624,0.9984925013096027,0.999245537677907,0.9992810978372091,0.9992810978372091,0.9992810978372091
1993-02-16,0.9778268724917323,0.9860513722515323,0.9887928721714665,0.9901636221314329,0.990986072107413,0.9910251070127309,0.9910251070127309,0.9910251070127309
1993-02-17,0.9771379371742449,0.9861232401578836,0.9891183411524307,0.9906158916497037,0.9915144219480675,0.9915576318119934,0.9915576318119934,0.9915576318119934
1993-02-18,0.9883278406802101,0.9981836271475641,1.0014688893033497,1.003111520381242,1.0040970990279774,1.004144986747655,1.004144986747655,1.004144986747655
1993-02-19,0.9904219560079768,1.001067190328459,1.0046156017686203,1.0063898074887005,1.0074543309207487,1.007505921058914,1.007505921058914,1.007505921058914
1993-02-22,0.9899993880761639,1.0014096232679812,1.0052130349985875,1.0071147408638903,1.0082557643830719,1.0083107811992946,1.0083107811992946,1.0083107811992946
1993-02-23,0.9910455666079273,1.0032383816539936,1.0073026533360163,1.0093347891770272,1.0105540706816338,1.0106125611550156,1.0106125611550156,1.0106125611550156
1993-02-24,0.9880417240064308,1.0009690845896289,1.005278204784029,1.0074327648812285,1.0087255009395482,1.008787126573642,1.008787126573642,1.008787126573642
