date,equity_10000,equity_25000,equity_50000,equity_100000,equity_250000,equity_500000,equity_1000000,equity_2000000
1993-01-29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1993-02-01,1.0014634929964537,1.0022194929964536,1.0025104388455883,1.002646116116055,1.0027217161160549,1.0027254494493882,1.0027254494493882,1.0027254494493882
1993-02-02,0.9988021222244019,1.0003130643363098,1.000894623793506,1.0011658137137622,1.0013169115987088,1.0013242460350158,1.0013242460350158,1.0013242460350158
1993-02-03,0.9998553652391198,1.002125806719129,1.0029996823416734,1.0034071966305578,1.0036342518055226,1.0036452751202147,1.0036452751202147,1.0036452751202147
1993-02-04,1.0028387125268148,1.0058747896721723,1.0070434366631862,1.007588406540685,1.0078920363691135,1.007906670222807,1.007906670222807,1.007906670222807
1993-02-05,1.000273765519861,1.0040618919603503,1.0055202384075734,1.0062002710711606,1.0065791205637562,1.0065971004420349,1.0065971004420349,1.0065971004420349
1993-02-08,0.997923818735948,1.0024638174502356,1.004211727997728,1.0050267815246112,1.0054808366216825,1.0055022232509274,1.0055022232509274,1.0055022232509274
1993-02-09,0.994563768084409,0.9998502127354717,1.0018855433585252,1.0028346364864607,1.0033633581321026,1.0033881773573963,1.0033881773573963,1.0033881773573963
1993-02-10,0.99379513456548,0.9998401909964897,1.0021675312122815,1.0032528311228388,1.003857439682667,1.0038858475946622,1.0038858475946622,1.0038858475946622
1993-02-11,0.9934032361247733,1.0002095730434122,1.002829968878,1.0040519659441294,1.0047327320348358,1.0047647181365476,1.0047647181365476,1.0047647181365476
1993-02-12,0.9877545240443371,0.9952867915490942,0.9981866554683236,0.999539015156983,1.0002924068126613,1.0003277641390225,1.0003277641390225,1.0003277641390225
1993-02-16,0.9784355159126648,0.986662328264757,0.9898293962625228,0.9913064448038462,0.9921293262203366,0.9921681148255262,0.9921681148255262,0.9921681148255262
1993-02-17,0.9778013009907274,0.9867893750246846,0.9902490145855921,0.9918626575415154,0.9927617052613794,0.9928046193820247,0.9928046193820247,0.9928046193820247
1993-02-18,0.9890532208831155,0.9989123060775056,1.0027067849546545,1.0044767383502995,1.0054629339800631,1.005510468433259,1.005510468433259,1.005510468433259
1993-02-19,0.9912055268614919,1.001854626621165,1.0059532365471098,1.00786508308443,1.0089303290991414,1.008981506038415,1.008981506038415,1.008981506038415
1993-02-22,0.9908402471917239,1.0022549594543495,1.0066484275910925,1.0086978229431003,1.0098396822817484,1.0098942220998868,1.0098942220998868,1.0098942220998868
1993-02-23,0.991944601732724,1.0041425519147305,1.008837693251434,1.0110278163285762,1.0122480558843703,1.012306000099888,1.012306000099888,1.012306000099888
1993-02-24,0.988996233146865,1.0019294214477512,1.0069078382916703,1.0092300971412522,1.0105239190494153,1.0105849265083784,1.0105849265083784,1.0105849265083784
1993-02-25,0.9844055518264613,0.9980511845229444,1.0033040310819672,1.0057543214184852,1.0071194489509356,1.0071834932877137,1.0071834932877137,1.0071834932877137
1993-02-26,0.9842996882743525,0.9987173193792357,1.0042673799185502,1.0068563666368122,1.0082987610160292,1.008366281655811,1.008366281655811,1.008366281655811
1993-03-01,0.9850468831818439,1.000249914880953,1.006102386105338,1.0088324919859435,1.010353497811369,1.0104245023283114,1.0104245023283114,1.0104245023283114
1993-03-02,0.9839244873459455,0.999885642802314,1.0060300882954822,1.008896437916616,1.0104933301214647,1.010567594863903,1.010567594863903,1.010567594863903
1993-03-03,0.9821610135490905,0.9988700016881057,1.0053024684535563,1.0083032225245643,1.009974975215832,1.0100524457455093,1.0100524457455093,1.0100524457455093
1993-03-04,0.9774852197903754,0.9948920968288558,1.001593341069095,1.0047195325437748,1.0064611524332405,1.006541621518903,1.006541621518903,1.006541621518903
1993-03-05,0.9746645159435804,0.9927996002549643,0.9997811147505797,1.0030381499242917,1.0048526736530696,1.0049364462241004,1.0049364462241004,1.0049364462241004
1993-03-08,0.976329868346732,0.9952753831945761,1.0025687512685655,1.0059713860633963,1.0078670440348816,1.0079545750755732,1.0079545750755732,1.0079545750755732
1993-03-09,0.9748328853425643,0.9945298015755655,1.0021124109136808,1.0056500787471432,1.0076209686804554,1.0077118448470017,1.0077118448470017,1.0077118448470017
1993-03-10,0.9741656631578637,0.9946305567206701,1.0025087745264656,1.0061844556100168,1.0082322397610086,1.0083265490501427,1.0083265490501427,1.0083265490501427
1993-03-11,0.9741142087213579,0.9953604909395627,1.0035395030975847,1.0073556187299062,1.0094816428641171,1.009579418496905,1.009579418496905,1.009579418496905
1993-03-12,0.9654925189574762,0.9873342362881906,0.9957424940335304,0.9996656604188066,1.0018513208182442,1.0019516485743039,1.0019516485743039,1.0019516485743039
1993-03-15,0.9678511902535298,0.9905307704614901,0.9992612883544284,1.003334977029608,1.0056045354766312,1.0057088863920407,1.0057088863920407,1.0057088863920407
1993-03-16,0.9652488549076428,0.9886529802778662,0.9976622762831161,1.001866175597478,1.0042082966079495,1.0043159747851875,1.0043159747851875,1.0043159747851875
1993-03-17,0.9610488360367594,0.9851376755723555,0.9944103549119193,0.9987373011084987,1.0011480021240808,1.0012588894807368,1.0012588894807368,1.0012588894807368
1993-03-18,0.962042648405736,0.986943980101214,0.9965291145855976,1.001002036951916,1.0034941086033993,1.003608935982759,1.003608935982759,1.003608935982759
1993-03-19,0.9651264667844114,0.9908962330610918,1.0008154343027307,1.005444408247835,1.0080234532114396,1.0081423695561074,1.0081423695561074,1.0081423695561074
1993-03-22,0.9593231333266796,0.9857275884121822,0.9958910573806713,1.0006341468147177,1.0032767762747716,1.003398491956585,1.003398491956585,1.003398491956585
1993-03-23,0.9583490758796072,0.9855174012613983,0.9959746778663495,1.0008550472724502,1.0035741928809008,1.003699525496223,1.003699525496223,1.003699525496223
1993-03-24,0.9545247787914286,0.9823764086811274,0.9930964857856446,0.9980996702674996,1.000887272325088,1.0010158363640609,1.0010158363640609,1.0010158363640609
1993-03-25,0.9542002640189027,0.9828351899923717,0.9938564465502968,0.9990003871963845,1.001866456781444,1.0019988389982477,1.0019988389982477,1.0019988389982477
