date,overnight_ret,overnight_equity,intraday_ret,intraday_equity,spy_ret,spy_equity,n_members
1993-01-29,0.0,1.0,0.0,1.0,0.0,1.0,0
1993-02-01,0.0022433212159399226,1.0022433212159398,0.006258003291952759,1.0062580032919528,0.007112793084734337,1.0071127930847343,18
1993-02-02,-0.0018818421704532415,1.0003572574690205,0.0026106032382371973,1.0088849436938487,0.0021184062817674043,1.0092462671520535,18
1993-02-03,0.0018346716084313712,1.0021925845275872,0.00805123075061593,1.01700770917635,0.010570894614350346,1.0199149030820442,18
1993-02-04,0.0037637893314819647,1.0059646262853223,0.0017351351841687966,1.0187723550351129,0.004184407069270035,1.0241826422125546,18
1993-02-05,-0.0017814249039254531,1.0041725758475897,-0.0026890127638930254,1.0160328631689222,-0.000695010007325414,1.0234708250268878,18
1993-02-08,-0.0015706029156419025,1.0025954194721558,-0.003300355517904301,1.0126795935025905,0.0,1.0234708250268878,18
1993-02-09,-0.002585765520479498,1.000002942805494,-0.0052245767202664505,1.007388771273288,-0.006949137399629102,1.0163585856392643,18
1993-02-10,1.23153181610878e-05,1.0000152581598967,0.0021709661844559226,1.009575778230323,0.0013997088200956576,1.0177811917159636,18
1993-02-11,0.0003925672036353909,1.000407831353385,-0.00034239714327389897,1.0092301023679384,0.004891084119590161,1.0227592451399832,18
1993-02-12,-0.004899201342830364,0.9955066319626406,-0.010791512117746526,0.9983389834886403,-0.007649021424560809,1.0149361377617399,18
1993-02-16,-0.008640263677404718,0.9869051921698783,-0.01790133904478267,0.9804673788635865,-0.02522788739063886,0.9893314431695968,18
1993-02-17,0.00015901410165516678,0.98706212401243,-0.0047326239175216785,0.9758271954960268,-0.0007188535185844724,0.9886202587806281,18
1993-02-18,0.012316193471587824,0.9992189721002435,-0.01348789991967044,0.9626653359442837,-0.0007190506003756925,0.9879093907900083,18
1993-02-19,0.002968727455313045,1.002185380896587,-0.0025839785963147864,0.9601778293207895,0.0035995214516457708,0.9914653918344393,18
1993-02-22,0.0004205305974462588,1.0026068305135674,-0.0071985387430061505,0.9532659520162483,0.003586531586608821,0.9950213137792829,18
1993-02-23,0.0019044747042671036,1.0045162698606058,-0.0038362547493047,0.9496089809804755,-0.000714981355553479,0.9943098920915524,18
1993-02-24,-0.0021845988118540964,1.0023218048109803,0.024928240997538004,0.9732810625117833,0.012876167777282399,1.0071127930847348,18
1993-02-25,-0.003849867277498722,0.9984629988931151,0.003353949912992316,0.9765453984467118,0.0021184062817674043,1.009246267152054,18
1993-02-26,0.0006902915451083634,0.9991522294593546,-0.0021601278746095627,0.9744359355107054,0.0014089457908166292,1.0106682404320553,18
1993-03-01,0.0015570830175391272,1.000707992427782,0.0015249005022894592,0.9759218533582146,-0.002814709557568462,1.0078235028761802,18
1993-03-02,-0.0003432174060415894,1.0003645320264158,0.01638620661584513,0.9919135104882608,0.014819799519637078,1.0227592451399836,18
1993-03-03,-0.0009934365763380343,0.9993707333106295,0.0025313736543944127,0.9944244142161487,0.004172692694984326,1.027026905170907,18
1993-03-04,-0.003958397936140371,0.9954148262624536,-0.006662775390778714,0.9877987877011197,-0.005539290631611737,1.0213379046566804,18
1993-03-05,-0.0020807356592836583,0.9933436311376697,-0.0041276509630199425,0.9837214990837952,-0.00278623434805203,1.0184922179057585,18
1993-03-08,0.0025173106365083352,0.9958441856260404,0.014206177742184491,0.9976964215485878,0.022346406028234567,1.0412518585436776,18
1993-03-09,-0.0007264209554796078,0.9951207835412091,0.00045565918840557887,0.9981510310903058,-0.0034155007870442233,1.0376954620013104,18
1993-03-10,0.00012477997534612612,0.9952449546880459,0.006053003626788395,1.0041928429015778,0.0020568879218663128,1.0398298852636763,18
1993-03-11,0.0007580762285774995,0.9959994262298065,-0.005555418414058088,0.9986141314908571,-0.0027368370446236856,1.03698404031358,18
1993-03-12,-0.008040227307603608,0.9879913644446762,0.001903428920486666,1.0005149225091434,-0.010286765970086265,1.0263168281761597,18
1993-03-15,0.003264312987970919,0.9912164774876362,-0.0023191994524790604,0.9981945288486631,0.004850868547473963,1.0312953561977027,18
1993-03-16,-0.0018702247745656772,0.9893626798744811,-0.003720098510326033,0.9944811468688776,0.0,1.0312953561977027,18
1993-03-17,-0.0035291677055256927,0.9858710530556157,-0.008310416478105912,0.9862165943587727,-0.006207270844096779,1.0248938266015244,18
1993-03-18,0.0018630309025832125,0.9877077612934205,0.0005823879031255121,0.9867909549731889,0.006246041716736039,1.0312953561977027,18
1993-03-19,0.004032684249612081,0.9916908748256081,-0.015087464121833236,0.9719027818442814,-0.0015140433271032538,1.029733930345379,18
1993-03-22,-0.005189237583172678,0.9865447552670736,0.002016666542991165,0.9738627856674669,-0.0055515372483253556,1.0240173240752022,18
1993-03-23,-0.00018288745601939657,0.9863643286065336,0.0021339872238334005,0.9759409964098481,0.002094095246187422,1.0261617138855617,18
1993-03-24,-0.003156698751371256,0.9832506735620241,-0.0007752653206404461,0.9751843832003403,0.0,1.0261617138855617,18
1993-03-25,0.00049949024190154,0.9837417976788114,0.007306460867454907,0.9823095297347467,0.006266845036647206,1.0325925103290228,18
